Project,Package,Size,Res. (m),Download Link,Status,Downloaded File Name
OMAFRA Lidar 2016-18,Cochrane A,2.91,0.5,https://ws.gisetl.lrc.gov.on.ca/fmedatadownload/Packages/LIDAR2016to18_DTM-Crne-A.zip,Completed,
OMAFRA Lidar 2016-18,Cochrane B,2.86,0.5,https://ws.gisetl.lrc.gov.on.ca/fmedatadownload/Packages/LIDAR2016to18_DTM-Crne-B.zip,Completed,
OMAFRA Lidar 2016-18,Cochrane C,2.9,0.5,https://ws.gisetl.lrc.gov.on.ca/fmedatadownload/Packages/LIDAR2016to18_DTM-Crne-C.zip,Completed,
OMAFRA Lidar 2016-18,Cochrane D,3.07,0.5,https://ws.gisetl.lrc.gov.on.ca/fmedatadownload/Packages/LIDAR2016to18_DTM-Crne-D.zip,Completed,LIDAR2016to18_DTM-Crne-D.zip
OMAFRA Lidar 2016-18,Cochrane E,2.83,0.5,https://ws.gisetl.lrc.gov.on.ca/fmedatadownload/Packages/LIDAR2016to18_DTM-Crne-E.zip,Completed,LIDAR2016to18_DTM-Crne-E.zip
OMAFRA Lidar 2016-18,Cochrane F,2.8,0.5,https://ws.gisetl.lrc.gov.on.ca/fmedatadownload/Packages/LIDAR2016to18_DTM-Crne-F.zip,Completed,LIDAR2016to18_DTM-Crne-F.zip
OMAFRA Lidar 2016-18,Cochrane G,3.04,0.5,https://ws.gisetl.lrc.gov.on.ca/fmedatadownload/Packages/LIDAR2016to18_DTM-Crne-G.zip,Completed,LIDAR2016to18_DTM-Crne-G.zip
OMAFRA Lidar 2016-18,Cochrane H,3.02,0.5,https://ws.gisetl.lrc.gov.on.ca/fmedatadownload/Packages/LIDAR2016to18_DTM-Crne-H.zip,Completed,LIDAR2016to18_DTM-Crne-H.zip
OMAFRA Lidar 2016-18,Lake Erie A,3.14,0.5,https://ws.gisetl.lrc.gov.on.ca/fmedatadownload/Packages/LIDAR2016to18_DTM-LkErie-A.zip,Completed,LIDAR2016to18_DTM-LkErie-A.zip
OMAFRA Lidar 2016-18,Lake Erie B,3.05,0.5,https://ws.gisetl.lrc.gov.on.ca/fmedatadownload/Packages/LIDAR2016to18_DTM-LkErie-B.zip,Completed,LIDAR2016to18_DTM-LkErie-B.zip
OMAFRA Lidar 2016-18,Lake Erie C,2.86,0.5,https://ws.gisetl.lrc.gov.on.ca/fmedatadownload/Packages/LIDAR2016to18_DTM-LkErie-C.zip,Completed,LIDAR2016to18_DTM-LkErie-C.zip
OMAFRA Lidar 2016-18,Lake Erie D,3.14,0.5,https://ws.gisetl.lrc.gov.on.ca/fmedatadownload/Packages/LIDAR2016to18_DTM-LkErie-D.zip,Completed,LIDAR2016to18_DTM-LkErie-D.zip
OMAFRA Lidar 2016-18,Lake Erie E,3.26,0.5,https://ws.gisetl.lrc.gov.on.ca/fmedatadownload/Packages/LIDAR2016to18_DTM-LkErie-E.zip,Completed,LIDAR2016to18_DTM-LkErie-E.zip
OMAFRA Lidar 2016-18,Lake Erie F,3.31,0.5,https://ws.gisetl.lrc.gov.on.ca/fmedatadownload/Packages/LIDAR2016to18_DTM-LkErie-F.zip,Completed,LIDAR2016to18_DTM-LkErie-F.zip
OMAFRA Lidar 2016-18,Lake Erie G,3.34,0.5,https://ws.gisetl.lrc.gov.on.ca/fmedatadownload/Packages/LIDAR2016to18_DTM-LkErie-G.zip,Completed,LIDAR2016to18_DTM-LkErie-G.zip
OMAFRA Lidar 2016-18,Lake Erie H,3.19,0.5,https://ws.gisetl.lrc.gov.on.ca/fmedatadownload/Packages/LIDAR2016to18_DTM-LkErie-H.zip,Completed,LIDAR2016to18_DTM-LkErie-H.zip
OMAFRA Lidar 2016-18,Lake Erie I,3.26,0.5,https://ws.gisetl.lrc.gov.on.ca/fmedatadownload/Packages/LIDAR2016to18_DTM-LkErie-I.zip,Completed,LIDAR2016to18_DTM-LkErie-I.zip
OMAFRA Lidar 2016-18,Lake Erie J,3.01,0.5,https://ws.gisetl.lrc.gov.on.ca/fmedatadownload/Packages/LIDAR2016to18_DTM-LkErie-J.zip,Completed,LIDAR2016to18_DTM-LkErie-J.zip
OMAFRA Lidar 2016-18,Lake Erie K,3.12,0.5,https://ws.gisetl.lrc.gov.on.ca/fmedatadownload/Packages/LIDAR2016to18_DTM-LkErie-K.zip,Completed,LIDAR2016to18_DTM-LkErie-K.zip
OMAFRA Lidar 2016-18,Lake Erie L,3.14,0.5,https://ws.gisetl.lrc.gov.on.ca/fmedatadownload/Packages/LIDAR2016to18_DTM-LkErie-L.zip,Completed,LIDAR2016to18_DTM-LkErie-L.zip
OMAFRA Lidar 2016-18,Lake Erie M,3.3,0.5,https://ws.gisetl.lrc.gov.on.ca/fmedatadownload/Packages/LIDAR2016to18_DTM-LkErie-M.zip,Completed,LIDAR2016to18_DTM-LkErie-M.zip
OMAFRA Lidar 2016-18,Lake Erie N,2.96,0.5,https://ws.gisetl.lrc.gov.on.ca/fmedatadownload/Packages/LIDAR2016to18_DTM-LkErie-N.zip,Completed,LIDAR2016to18_DTM-LkErie-N.zip
OMAFRA Lidar 2016-18,Lake Erie O,3.07,0.5,https://ws.gisetl.lrc.gov.on.ca/fmedatadownload/Packages/LIDAR2016to18_DTM-LkErie-O.zip,Completed,LIDAR2016to18_DTM-LkErie-O.zip
OMAFRA Lidar 2016-18,Lake Erie P,3.25,0.5,https://ws.gisetl.lrc.gov.on.ca/fmedatadownload/Packages/LIDAR2016to18_DTM-LkErie-P.zip,Completed,LIDAR2016to18_DTM-LkErie-P.zip
OMAFRA Lidar 2016-18,Lake Erie Q,2.65,0.5,https://ws.gisetl.lrc.gov.on.ca/fmedatadownload/Packages/LIDAR2016to18_DTM-LkErie-Q.zip,Completed,LIDAR2016to18_DTM-LkErie-Q.zip
OMAFRA Lidar 2016-18,Lake Erie R,2.97,0.5,https://ws.gisetl.lrc.gov.on.ca/fmedatadownload/Packages/LIDAR2016to18_DTM-LkErie-R.zip,Completed,LIDAR2016to18_DTM-LkErie-R.zip
OMAFRA Lidar 2016-18,Lake Erie S,3.19,0.5,https://ws.gisetl.lrc.gov.on.ca/fmedatadownload/Packages/LIDAR2016to18_DTM-LkErie-S.zip,Completed,LIDAR2016to18_DTM-LkErie-S.zip
OMAFRA Lidar 2016-18,Lake Erie T,2.39,0.5,https://ws.gisetl.lrc.gov.on.ca/fmedatadownload/Packages/LIDAR2016to18_DTM-LkErie-T.zip,Completed,LIDAR2016to18_DTM-LkErie-T.zip
OMAFRA Lidar 2016-18,Lake Erie U,2.69,0.5,https://ws.gisetl.lrc.gov.on.ca/fmedatadownload/Packages/LIDAR2016to18_DTM-LkErie-U.zip,Completed,LIDAR2016to18_DTM-LkErie-U.zip
OMAFRA Lidar 2016-18,Lake Erie V,2.93,0.5,https://ws.gisetl.lrc.gov.on.ca/fmedatadownload/Packages/LIDAR2016to18_DTM-LkErie-V.zip,Completed,LIDAR2016to18_DTM-LkErie-V.zip
OMAFRA Lidar 2016-18,Lake Erie W,2.67,0.5,https://ws.gisetl.lrc.gov.on.ca/fmedatadownload/Packages/LIDAR2016to18_DTM-LkErie-W.zip,Completed,LIDAR2016to18_DTM-LkErie-W.zip
OMAFRA Lidar 2016-18,Lake Erie X,2.27,0.5,https://ws.gisetl.lrc.gov.on.ca/fmedatadownload/Packages/LIDAR2016to18_DTM-LkErie-X.zip,Completed,LIDAR2016to18_DTM-LkErie-X.zip
OMAFRA Lidar 2016-18,Peterborough A,3.08,0.5,https://ws.gisetl.lrc.gov.on.ca/fmedatadownload/Packages/LIDAR2016to18_DTM-Ptbo-A.zip,Completed,LIDAR2016to18_DTM-Ptbo-A.zip
OMAFRA Lidar 2016-18,Peterborough B,3.16,0.5,https://ws.gisetl.lrc.gov.on.ca/fmedatadownload/Packages/LIDAR2016to18_DTM-Ptbo-B.zip,Completed,LIDAR2016to18_DTM-Ptbo-B.zip
OMAFRA Lidar 2016-18,Peterborough C,3.07,0.5,https://ws.gisetl.lrc.gov.on.ca/fmedatadownload/Packages/LIDAR2016to18_DTM-Ptbo-C.zip,Completed,LIDAR2016to18_DTM-Ptbo-C.zip
OMAFRA Lidar 2016-18,Peterborough D,2.78,0.5,https://ws.gisetl.lrc.gov.on.ca/fmedatadownload/Packages/LIDAR2016to18_DTM-Ptbo-D.zip,Completed,LIDAR2016to18_DTM-Ptbo-D.zip
OMAFRA Lidar 2016-18,Peterborough E,3.09,0.5,https://ws.gisetl.lrc.gov.on.ca/fmedatadownload/Packages/LIDAR2016to18_DTM-Ptbo-E.zip,Completed,LIDAR2016to18_DTM-Ptbo-E.zip
OMAFRA Lidar 2016-18,Peterborough F,3.09,0.5,https://ws.gisetl.lrc.gov.on.ca/fmedatadownload/Packages/LIDAR2016to18_DTM-Ptbo-F.zip,Completed,LIDAR2016to18_DTM-Ptbo-F.zip
OMAFRA Lidar 2016-18,Peterborough G,3.16,0.5,https://ws.gisetl.lrc.gov.on.ca/fmedatadownload/Packages/LIDAR2016to18_DTM-Ptbo-G.zip,Completed,LIDAR2016to18_DTM-Ptbo-G.zip
OMAFRA Lidar 2016-18,Peterborough H,3.22,0.5,https://ws.gisetl.lrc.gov.on.ca/fmedatadownload/Packages/LIDAR2016to18_DTM-Ptbo-H.zip,Completed,LIDAR2016to18_DTM-Ptbo-H.zip
OMAFRA Lidar 2016-18,Peterborough I,2.91,0.5,https://ws.gisetl.lrc.gov.on.ca/fmedatadownload/Packages/LIDAR2016to18_DTM-Ptbo-I.zip,Completed,LIDAR2016to18_DTM-Ptbo-I.zip
LEAP 2009,LEAP A,2.41,1.0,https://ws.gisetl.lrc.gov.on.ca/fmedatadownload/Packages/LEAP2009_DTM-A.zip,Completed,LEAP2009_DTM-A.zip
LEAP 2009,LEAP B,2.75,1.0,https://ws.gisetl.lrc.gov.on.ca/fmedatadownload/Packages/LEAP2009_DTM-B.zip,Completed,LEAP2009_DTM-B.zip
LEAP 2009,LEAP C,1.77,1.0,https://ws.gisetl.lrc.gov.on.ca/fmedatadownload/Packages/LEAP2009_DTM-C.zip,Completed,LEAP2009_DTM-C.zip
LEAP 2009,LEAP D,2.84,1.0,https://ws.gisetl.lrc.gov.on.ca/fmedatadownload/Packages/LEAP2009_DTM-D.zip,Completed,LEAP2009_DTM-D.zip
